Reference,Value,Footprint,Quantity,Populate,X_mm,Y_mm,Rotation_deg,Side,Manufacturer,MPN,LCSC
U9,STM32C031C6T6,IR_Glasses:LQFP-48_7x7mm_P0.5mm,1,Yes,110,63,0,front,STMicroelectronics,STM32C031C6T6,C5456218
U1,TLC59283RGER,IR_Glasses:Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,1,Yes,121,62,0,front,Texas Instruments,TLC59283RGER,C485815
U10,LSM6DS3TR-C,IR_Glasses:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,Yes,110,71.3,0,front,STMicroelectronics,LSM6DS3TR-C,C967633
U6,TLV9061IDBVR,IR_Glasses:SOT-23-5,1,Yes,87,62,0,front,Texas Instruments,TLV9061IDBVR,C398358
J1,2492111-5,IR_Glasses:TE_2492111-5_1x05_P0.5mm_Horizontal,1,Yes,165,61.7,180,front,TE Connectivity,2492111-5,
J2,TC2050-IDC-NL / ARM2010,IR_Glasses:Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical,1,PCB pads only,55.5,61,0,front,,,
U11,"PESD3V3L2BT,215",IR_Glasses:SOT-23,1,Yes,167.5,67.0,0,front,Nexperia,"PESD3V3L2BT,215",C55440
D17,"PESD5V0S1BA,115",IR_Glasses:D_SOD-323,1,Yes,159.0,60.0,90,front,Nexperia,"PESD5V0S1BA,115",C19224
FB1,600R@100MHz 500mA,IR_Glasses:L_0603_1608Metric,1,Yes,89.0,67.0,0,front,Murata,BLM18AG601SN1D,C19330
NT1,AGND-GND star,IR_Glasses:NetTie-2_SMD_Pad0.5mm,1,PCB pads only,92.0,67.0,0,front,,,
R1,2.67k,IR_Glasses:R_0402_1005Metric,1,Yes,125.75,63.25,90,front,Viking,ARG02FTC2671,C284464
R2,10k,IR_Glasses:R_0402_1005Metric,1,Yes,85.0,59.5,0,front,UNI-ROYAL,0402WGF1002TCE,C25744
R3,10k,IR_Glasses:R_0402_1005Metric,1,Yes,86.0,64.5,0,front,UNI-ROYAL,0402WGF1002TCE,C25744
R4,10k,IR_Glasses:R_0402_1005Metric,1,Yes,103.5,61.0,0,front,UNI-ROYAL,0402WGF1002TCE,C25744
R5,100k,IR_Glasses:R_0402_1005Metric,1,Yes,115.8,61.0,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
R6,4.7k,IR_Glasses:R_0402_1005Metric,1,Yes,113.0,70.0,0,front,UNI-ROYAL,0402WGF4701TCE,C25900
R7,4.7k,IR_Glasses:R_0402_1005Metric,1,Yes,113.5,72.0,90,front,UNI-ROYAL,0402WGF4701TCE,C25900
R8,22,IR_Glasses:R_0402_1005Metric,1,Yes,154.0,66.0,0,front,UNI-ROYAL,0402WGF220JTCE,C25092
R9,22,IR_Glasses:R_0402_1005Metric,1,Yes,170.0,69.5,0,front,UNI-ROYAL,0402WGF220JTCE,C25092
R10,10k,IR_Glasses:R_0402_1005Metric,1,Yes,125.75,60.0,90,front,UNI-ROYAL,0402WGF1002TCE,C25744
R11,100,IR_Glasses:R_0402_1005Metric,1,Yes,102.0,67.0,0,front,UNI-ROYAL,0402WGF1000TCE,C25076
R12,100,IR_Glasses:R_0402_1005Metric,1,Yes,116.0,67.0,90,front,UNI-ROYAL,0402WGF1000TCE,C25076
R13,47,IR_Glasses:R_0402_1005Metric,1,Yes,89.75,60.0,90,front,UNI-ROYAL,0402WGF470JTCE,C25118
U2,TLV9064IPWR,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,1,Yes,77.5,60.5,0,front,Texas Instruments,TLV9064IPWR,C779410
U3,TLV9064IPWR,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,1,Yes,67,61.4,0,front,Texas Instruments,TLV9064IPWR,C779410
PD1,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,99.1474,94.9322,69.734,front,Everlight,PD15-22B/TR8,C161211
D1,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,97.2266,99.389,61.38,front,Everlight,IR11-21C/TR8,C16745
RF1,100k,IR_Glasses:R_0402_1005Metric,1,Yes,72.888,58.875,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF1,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,72.888,60.875,90,front,FH,0402CG220J500NT,C1555
PD2,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,86.2915,106.4166,9.481,front,Everlight,PD15-22B/TR8,C161211
D2,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,81.3647,107.0997,6.53,front,Everlight,IR11-21C/TR8,C16745
RF2,100k,IR_Glasses:R_0402_1005Metric,1,Yes,74.638,63.875,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF2,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,72.888,62.875,90,front,FH,0402CG220J500NT,C1555
PD3,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,65.5404,106.8475,-7.387,front,Everlight,PD15-22B/TR8,C161211
D3,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,60.667,106.0473,-11.779,front,Everlight,IR11-21C/TR8,C16745
RF3,100k,IR_Glasses:R_0402_1005Metric,1,Yes,82.112,62.125,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF3,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,82.112,60.125,90,front,FH,0402CG220J500NT,C1555
PD4,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,49.5328,98.7372,-65.946,front,Everlight,PD15-22B/TR8,C161211
D4,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,48.0093,94.1124,-74.093,front,Everlight,IR11-21C/TR8,C16745
RF4,100k,IR_Glasses:R_0402_1005Metric,1,Yes,82.612,58.375,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF4,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,83.362,60.125,90,front,FH,0402CG220J500NT,C1555
PD5,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,45.494200000000006,78.5897,-89.524,front,Everlight,PD15-22B/TR8,C161211
D5,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,46.0878,73.8218,-105.15,front,Everlight,IR11-21C/TR8,C16745
RF5,100k,IR_Glasses:R_0402_1005Metric,1,Yes,62.388,59.775,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF5,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,64.138,58.025,0,front,FH,0402CG220J500NT,C1555
PD6,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,57.9682,66.4324,-167.812,front,Everlight,PD15-22B/TR8,C161211
D6,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,62.8597,65.8002,-174.743,front,Everlight,IR11-21C/TR8,C16745
RF6,100k,IR_Glasses:R_0402_1005Metric,1,Yes,62.388,63.025,90,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF6,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,65.888,64.775,0,front,FH,0402CG220J500NT,C1555
PD7,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,80.0574,65.60249999999999,176.212,front,Everlight,PD15-22B/TR8,C161211
D7,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,84.9772,66.1358,172.509,front,Everlight,IR11-21C/TR8,C16745
RF7,100k,IR_Glasses:R_0402_1005Metric,1,Yes,69.862,64.775,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF7,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,71.612,63.025,90,front,FH,0402CG220J500NT,C1555
PD8,PD15-22B/TR8,IR_Glasses:Everlight_PD15_22B,1,Yes,102.2158,73.9515,106.619,front,Everlight,PD15-22B/TR8,C161211
D8,IR11-21C/TR8,IR_Glasses:Everlight_IR11_21C,1,Yes,102.5903,78.7863,87.338,front,Everlight,IR11-21C/TR8,C16745
RF8,100k,IR_Glasses:R_0402_1005Metric,1,Yes,69.862,58.025,0,front,UNI-ROYAL,0402WGF1003TCE,C25741
CF8,22p C0G,IR_Glasses:C_0402_1005Metric,1,Yes,71.612,59.775,90,front,FH,0402CG220J500NT,C1555
U7,TMUX1308PWR,IR_Glasses:TSSOP-16_4.4x5mm_P0.65mm,1,Yes,95,62,0,front,Texas Instruments,TMUX1308PWR,C970231
