Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",85.000000,-58.250000,0.000000,top
"C2","100n","C_0402_1005Metric",121.250000,-58.562000,0.000000,top
"C3","100n","C_0402_1005Metric",76.388000,-64.500000,90.000000,top
"C4","100n","C_0402_1005Metric",61.888000,-58.150000,0.000000,top
"C5","100n","C_0402_1005Metric",136.638000,-60.000000,90.000000,top
"C6","100n","C_0402_1005Metric",147.888000,-64.650000,0.000000,top
"C7","100n","C_0402_1005Metric",88.138000,-59.550000,0.000000,top
"C8","100n","C_0402_1005Metric",97.862000,-58.475000,0.000000,top
"C9","100n","C_0402_1005Metric",133.862000,-57.975000,0.000000,top
"C10","100n","C_0402_1005Metric",112.750000,-68.913000,0.000000,top
"C11","100n","C_0402_1005Metric",104.088000,-64.250000,90.000000,top
"C12","100n","C_0402_1005Metric",112.412000,-72.050000,90.000000,top
"C13","100n","C_0402_1005Metric",107.500000,-72.212000,90.000000,top
"C14","100n","C_0402_1005Metric",170.500000,-68.050000,0.000000,top
"C15","100n","C_0402_1005Metric",87.750000,-65.000000,90.000000,top
"C16","100n","C_0402_1005Metric",119.250000,-58.562000,0.000000,top
"C17","100n","C_0402_1005Metric",104.000000,-58.838000,90.000000,top
"C18","1u","C_0402_1005Metric",116.000000,-58.250000,90.000000,top
"C19","1u","C_0402_1005Metric",102.750000,-58.250000,90.000000,top
"C20","1u","C_0402_1005Metric",114.750000,-72.000000,90.000000,top
"C21","1u","C_0402_1005Metric",89.000000,-65.000000,90.000000,top
"C22","1u","C_0402_1005Metric",68.000000,-65.250000,90.000000,top
"C23","1u","C_0402_1005Metric",152.000000,-65.250000,90.000000,top
"C24","1u","C_0402_1005Metric",159.250000,-57.750000,0.000000,top
"C25","10u","C_0603_1608Metric",158.750000,-62.500000,0.000000,top
"C26","10u","C_0603_1608Metric",125.250000,-66.000000,90.000000,top
"C27","10u","C_0603_1608Metric",84.000000,-63.250000,90.000000,top
"C28","47u 16V X5R","C_1210_3225Metric",122.000000,-67.300000,0.000000,top
"C29","1n","C_0402_1005Metric",103.500000,-69.000000,0.000000,top
"C30","1n","C_0402_1005Metric",116.000000,-69.000000,0.000000,top
"C31","100n","C_0402_1005Metric",90.250000,-65.000000,90.000000,top
"CF1","22p C0G","C_0402_1005Metric",72.888000,-60.875000,90.000000,top
"CF2","22p C0G","C_0402_1005Metric",72.888000,-62.875000,90.000000,top
"CF3","22p C0G","C_0402_1005Metric",82.112000,-60.125000,90.000000,top
"CF4","22p C0G","C_0402_1005Metric",83.362000,-60.125000,90.000000,top
"CF5","22p C0G","C_0402_1005Metric",64.138000,-58.025000,0.000000,top
"CF6","22p C0G","C_0402_1005Metric",65.888000,-64.775000,0.000000,top
"CF7","22p C0G","C_0402_1005Metric",71.612000,-63.025000,90.000000,top
"CF8","22p C0G","C_0402_1005Metric",71.612000,-59.775000,90.000000,top
"CF9","22p C0G","C_0402_1005Metric",137.888000,-60.875000,90.000000,top
"CF10","22p C0G","C_0402_1005Metric",136.638000,-62.125000,90.000000,top
"CF11","22p C0G","C_0402_1005Metric",147.112000,-62.125000,90.000000,top
"CF12","22p C0G","C_0402_1005Metric",148.362000,-58.875000,90.000000,top
"CF13","22p C0G","C_0402_1005Metric",148.388000,-61.025000,90.000000,top
"CF14","22p C0G","C_0402_1005Metric",150.138000,-64.775000,0.000000,top
"CF15","22p C0G","C_0402_1005Metric",154.112000,-64.775000,0.000000,top
"CF16","22p C0G","C_0402_1005Metric",153.862000,-58.025000,0.000000,top
"D1","IR11-21C/TR8","Everlight_IR11_21C",96.798800,-99.130200,60.632000,top
"D2","IR11-21C/TR8","Everlight_IR11_21C",81.307800,-106.602900,6.530000,top
"D3","IR11-21C/TR8","Everlight_IR11_21C",60.769100,-105.557800,-11.779000,top
